Gene,Annotation,Swiss-Prot Entry name,AC ,EcoGene accession number,Length ,Gene name and synonyms,b_num,jw_num
ygaZ,Inner membrane protein YgaZ,YGAZ_ECOLI,P76630,EG13528,245,ygaZ,b2682, JW2657
katG,Catalase-peroxidase,KATG_ECOLI,P13029,EG10511,726,katG,b3942, JW3914
clsA,Cardiolipin synthase A,CLSA_ECOLI,P0A6H8,EG11608,486,clsA; cls; nov; yciJ,b1249, JW1241
rutR,HTH-type transcriptional regulator RutR,RUTR_ECOLI,P0ACU2,EG12301,212,rutR; ycdC,b1013, JW0998
rplL,50S ribosomal protein L7/L12,RL7_ECOLI,P0A7K2,EG10873,121,rplL,b3986, JW3949
tktB,Transketolase 2,TKT2_ECOLI,P33570,EG12100,667,tktB,b2465, JW2449
pckA,Phosphoenolpyruvate carboxykinase (ATP),PCKA_ECOLI,P22259,EG10688,540,pckA; pck,b3403, JW3366
ygjI,Inner membrane transporter YgjI,YGJI_ECOLI,P42590,EG12720,477,ygjI,b3078, JW5512
mdoG,Glucans biosynthesis protein G,OPGG_ECOLI,P33136,EG11885,511,mdoG; opgG,b1048, JW1035
ybiS,"putative L,D-transpeptidase YbiS",YBIS_ECOLI,P0AAX8,EG13324,306,ybiS,b0819, JW0803
ybiO,Moderate conductance mechanosensitive channel YbiO,YBIO_ECOLI,P75783,EG13320,741,ybiO,b0808, JW5108
trpGD,Bifunctional protein TrpGD,TRPGD_ECOLI,P00904,EG11027,531,trpGD; trpD,b1263, JW1255
ghxQ,Guanine/hypoxanthine permease GhxQ,GHXQ_ECOLI,Q46817,EG13067,455,ghxQ; ygfQ; ygfR,b4464, JW5467
mdtE,Multidrug resistance protein MdtE,MDTE_ECOLI,P37636,EG12240,385,mdtE; yhiU,b3513, JW3481
chbA,"PTS system N,N'-diacetylchitobiose-specific EIIA component",PTQA_ECOLI,P69791,EG10142,116,chbA; celC,b1736, JW1725
dtd,D-aminoacyl-tRNA deacylase,DTD_ECOLI,P0A6M4,EG11852,145,dtd; yihZ,b3887, JW3858
parE,DNA topoisomerase 4 subunit B,PARE_ECOLI,P20083,EG10687,630,parE; nfxD,b3030, JW2998
pntB,NAD(P) transhydrogenase subunit beta,PNTB_ECOLI,P0AB67,EG10745,462,pntB,b1602, JW1594
lptA,Lipopolysaccharide export system protein LptA,LPTA_ECOLI,P0ADV1,EG12618,185,lptA; yhbN,b3200, JW3167
hemY,Protein HemY,HEMY_ECOLI,P0ACB7,EG10434,398,hemY,b3802, JW3774
dppB,Dipeptide transport system permease protein DppB,DPPB_ECOLI,P0AEF8,EG12625,339,dppB,b3543, JW3512
ppiD,Peptidyl-prolyl cis-trans isomerase D,PPID_ECOLI,P0ADY1,EG13249,623,ppiD; ybaU,b0441, JW0431
osmE,Osmotically-inducible putative lipoprotein OsmE,OSME_ECOLI,P0ADB1,EG10044,112,osmE; anr,b1739, JW1728
aceA,Isocitrate lyase,ACEA_ECOLI,P0A9G6,EG10022,434,aceA; icl,b4015, JW3975
udk,Uridine kinase,URK_ECOLI,P0A8F4,EG11701,213,udk,b2066, JW2051
argG,Argininosuccinate synthase,ASSY_ECOLI,P0A6E4,EG10068,447,argG,b3172, JW3140
arcA,Aerobic respiration control protein ArcA,ARCA_ECOLI,P0A9Q1,EG10061,238,arcA; cpxC; dye; fexA; msp; seg; sfrA,b4401, JW4364
nadR,Trifunctional NAD biosynthesis/regulator protein NadR,NADR_ECOLI,P27278,EG11335,410,nadR; nadI,b4390, JW5800
cusA,Cation efflux system protein CusA,CUSA_ECOLI,P38054,EG12367,1047,cusA; ybdE,b0575, JW0564
rnt,Ribonuclease T,RNT_ECOLI,P30014,EG11547,215,rnt,b1652, JW1644
mpl,"UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase",MPL_ECOLI,P37773,EG12440,457,mpl; yjfG,b4233, JW4192
phoQ,Sensor protein PhoQ,PHOQ_ECOLI,P23837,EG10732,486,phoQ,b1129, JW1115
rsgA,Small ribosomal subunit biogenesis GTPase RsgA,RSGA_ECOLI,P39286,EG12479,350,rsgA; engC; yjeQ,b4161, JW4122
psd,Phosphatidylserine decarboxylase proenzyme,PSD_ECOLI,P0A8K1,EG10775,322,psd,b4160, JW4121
rnhA,Ribonuclease HI,RNH_ECOLI,P0A7Y4,EG10860,155,rnhA; dasF; herA; rnh; sdrA,b0214, JW0204
narH,Respiratory nitrate reductase 1 beta chain,NARH_ECOLI,P11349,EG10639,512,narH,b1225, JW1216
udp,Uridine phosphorylase,UDP_ECOLI,P12758,EG11045,253,udp,b3831, JW3808
clpS,ATP-dependent Clp protease adapter protein ClpS,CLPS_ECOLI,P0A8Q6,EG14241,106,clpS; yljA,b0881, JW0865
rpoC,DNA-directed RNA polymerase subunit beta',RPOC_ECOLI,P0A8T7,EG10895,1407,rpoC; tabB,b3988, JW3951
dps,DNA protection during starvation protein,DPS_ECOLI,P0ABT2,EG11415,167,dps; pexB; vtm,b0812, JW0797
oppC,Oligopeptide transport system permease protein OppC,OPPC_ECOLI,P0AFH6,EG10676,302,oppC,b1245, JW1237
apaG,Protein ApaG,APAG_ECOLI,P62672,EG10047,125,apaG,b0050, JW0049
rpe,Ribulose-phosphate 3-epimerase,RPE_ECOLI,P0AG07,EG11960,225,rpe; dod; yhfD,b3386, JW3349
bamD,Outer membrane protein assembly factor BamD,BAMD_ECOLI,P0AC02,EG14222,245,bamD; yfiO,b2595, JW2577
tolC,Outer membrane protein TolC,TOLC_ECOLI,P02930,EG11009,493,tolC; colE1-i; mtcB; mukA; refI; toc; weeA,b3035, JW5503
speE,Polyamine aminopropyltransferase,SPEE_ECOLI,P09158,EG10963,288,speE,b0121, JW0117
folP,Dihydropteroate synthase,DHPS_ECOLI,P0AC13,EG50011,282,folP; dhpS,b3177, JW3144
mltA,Membrane-bound lytic murein transglycosylase A,MLTA_ECOLI,P0A935,EG13085,365,mltA; mlt; ygdM,b2813, JW2784
aroP,Aromatic amino acid transport protein AroP,AROP_ECOLI,P15993,EG10084,457,aroP,b0112, JW0108
ftsW,putative peptidoglycan glycosyltransferase FtsW,FTSW_ECOLI,P0ABG4,EG10344,414,ftsW,b0089, JW0087
mdlB,Multidrug resistance-like ATP-binding protein MdlB,MDLB_ECOLI,P0AAG5,EG14374,593,mdlB; mdl,b0449, JW5061
lpxL,Lipid A biosynthesis lauroyltransferase,LPXL_ECOLI,P0ACV0,EG10464,306,lpxL; htrB; waaM,b1054, JW1041
eno,Enolase,ENO_ECOLI,P0A6P9,EG10258,432,eno,b2779, JW2750
recO,DNA repair protein RecO,RECO_ECOLI,P0A7H3,EG10832,242,recO,b2565, JW2549
smpB,SsrA-binding protein,SSRP_ECOLI,P0A832,EG11782,160,smpB; smqB,b2620, JW2601
rpsC,30S ribosomal protein S3,RS3_ECOLI,P0A7V3,EG10902,233,rpsC,b3314, JW3276
hycE,Formate hydrogenlyase subunit 5,HYCE_ECOLI,P16431,EG10478,569,hycE; hevE,b2721, JW2691
sdhD,Succinate dehydrogenase hydrophobic membrane anchor subunit,DHSD_ECOLI,P0AC44,EG10934,115,sdhD,b0722, JW0712
ycgM,putative protein YcgM,YCGM_ECOLI,P76004,EG13894,219,ycgM,b1180, JW1169
crr,PTS system glucose-specific EIIA component,PTGA_ECOLI,P69783,EG10165,169,crr; gsr; iex; tgs; treD,b2417, JW2410
hisJ,Histidine-binding periplasmic protein,HISJ_ECOLI,P0AEU0,EG12124,260,hisJ,b2309, JW2306
thrB,Homoserine kinase,KHSE_ECOLI,P00547,EG10999,310,thrB,b0003, JW0002
ybjO,Inner membrane protein YbjO,YBJO_ECOLI,P0AAZ0,EG13684,162,ybjO,b0858, JW0842
radA,DNA repair protein RadA,RADA_ECOLI,P24554,EG11296,460,radA; sms,b4389, JW4352
znuC,Zinc import ATP-binding protein ZnuC,ZNUC_ECOLI,P0A9X1,EG13132,251,znuC; yebM,b1858, JW1847
nuoF,NADH-quinone oxidoreductase subunit F,NUOF_ECOLI,P31979,EG11774,445,nuoF,b2284, JW2279
tldD,Metalloprotease TldD,TLDD_ECOLI,P0AGG8,EG12826,481,tldD; yhdO,b3244, JW3213
cysB,HTH-type transcriptional regulator CysB,CYSB_ECOLI,P0A9F3,EG10184,324,cysB,b1275, JW1267
hslU,ATP-dependent protease ATPase subunit HslU,HSLU_ECOLI,P0A6H5,EG11881,443,hslU; htpI,b3931, JW3902
speD,S-adenosylmethionine decarboxylase proenzyme,SPED_ECOLI,P0A7F6,EG10962,264,speD,b0120, JW0116
uacT,Uric acid transporter UacT,UACT_ECOLI,Q46821,EG13071,482,uacT; ygfU,b2888, JW5470
fabA,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,FABA_ECOLI,P0A6Q3,EG10273,172,fabA,b0954, JW0937
minC,Septum site-determining protein MinC,MINC_ECOLI,P18196,EG10596,231,minC,b1176, JW1165
nuoL,NADH-quinone oxidoreductase subunit L,NUOL_ECOLI,P33607,EG12092,613,nuoL,b2278, JW2273
phoP,Transcriptional regulatory protein PhoP,PHOP_ECOLI,P23836,EG10731,223,phoP,b1130, JW1116
htpX,Protease HtpX,HTPX_ECOLI,P23894,EG10462,293,htpX,b1829, JW1818
fucU,L-fucose mutarotase,FUCM_ECOLI,P0AEN8,EG10355,140,fucU,b2804, JW2775
rsmE,Ribosomal RNA small subunit methyltransferase E,RSME_ECOLI,P0AGL7,EG12366,243,rsmE; yggJ,b2946, JW2913
purB,Adenylosuccinate lyase,PUR8_ECOLI,P0AB89,EG11314,456,purB,b1131, JW1117
yiaD,putative lipoprotein YiaD,YIAD_ECOLI,P37665,EG12271,219,yiaD,b3552, JW5657
deoD,Purine nucleoside phosphorylase DeoD-type,DEOD_ECOLI,P0ABP8,EG10222,239,deoD; pup,b4384, JW4347
rseB,Sigma-E factor regulatory protein RseB,RSEB_ECOLI,P0AFX9,EG13177,318,rseB,b2571, JW2555
baeR,Transcriptional regulatory protein BaeR,BAER_ECOLI,P69228,EG11618,240,baeR,b2079, JW2064
holE,DNA polymerase III subunit theta,HOLE_ECOLI,P0ABS8,EG11505,76,holE,b1842, JW1831
nudC,NADH pyrophosphatase,NUDC_ECOLI,P32664,EG11702,257,nudC; yjaD,b3996, JW5548
ypeA,Acetyltransferase YpeA,YPEA_ECOLI,P76539,EG14168,141,ypeA,b2434, JW2427
dsbD,Thiol:disulfide interchange protein DsbD,DSBD_ECOLI,P36655,EG12178,565,dsbD; cutA2; cycZ; dipZ,b4136, JW5734
dapD,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",DAPD_ECOLI,P0A9D8,EG10207,274,dapD,b0166, JW0161
bglJ,Transcriptional activator protein BglJ,BGLJ_ECOLI,P39404,EG12594,225,bglJ; yjjR,b4366, JW5955
cysC,Adenylyl-sulfate kinase,CYSC_ECOLI,P0A6J1,EG10185,201,cysC,b2750, JW2720
torA,Trimethylamine-N-oxide reductase 1,TORA_ECOLI,P33225,EG11814,848,torA,b0997, JW0982
cdd,Cytidine deaminase,CDD_ECOLI,P0ABF6,EG10137,294,cdd,b2143, JW2131
atpH,ATP synthase subunit delta,ATPD_ECOLI,P0ABA4,EG10105,177,atpH; papE; uncH,b3735, JW3713
rlmG,Ribosomal RNA large subunit methyltransferase G,RLMG_ECOLI,P42596,EG12726,378,rlmG; ygjO,b3084, JW5513
bamB,Outer membrane protein assembly factor BamB,BAMB_ECOLI,P77774,EG14208,392,bamB; yfgL,b2512, JW2496
pgpA,Phosphatidylglycerophosphatase A,PGPA_ECOLI,P18200,EG10704,172,pgpA; yajN,b0418, JW0408
cpxP,Periplasmic protein CpxP,CPXP_ECOLI,P0AE85,EG11872,166,cpxP; yiiO,b4484, JW5558
soxR,Redox-sensitive transcriptional activator SoxR,SOXR_ECOLI,P0ACS2,EG10957,154,soxR; marC,b4063, JW4024
speG,Spermidine N(1)-acetyltransferase,ATDA_ECOLI,P0A951,EG12447,186,speG,b1584, JW1576
sstT,Serine/threonine transporter SstT,SSTT_ECOLI,P0AGE4,EG12732,414,sstT; ygjU,b3089, JW3060
yebV,putative protein YebV,YEBV_ECOLI,P64503,EG14024,78,yebV,b1836, JW5302
holA,DNA polymerase III subunit delta,HOLA_ECOLI,P28630,EG11412,343,holA,b0640, JW0635
yceB,putative lipoprotein YceB,YCEB_ECOLI,P0AB26,EG11117,186,yceB,b1063, JW1050
gss,Bifunctional glutathionylspermidine synthetase/amidase,GSP_ECOLI,P0AES0,EG12882,619,gss; gsp,b2988, JW2956
murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",MURE_ECOLI,P22188,EG10621,495,murE,b0085, JW0083
kdsC,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC,KDSC_ECOLI,P0ABZ4,EG12804,188,kdsC; yrbI; yrbJ,b3198, JW3165
tadA,tRNA-specific adenosine deaminase,TADA_ECOLI,P68398,EG11372,167,tadA; yfhC,b2559, JW2543
apaH,Bis(5'-nucleosyl)-tetraphosphatase [symmetrical],APAH_ECOLI,P05637,EG10048,280,apaH,b0049, JW0048
napD,Chaperone NapD,NAPD_ECOLI,P0A9I5,EG12143,87,napD; yojF,b2207, JW2195
proA,Gamma-glutamyl phosphate reductase,PROA_ECOLI,P07004,EG10767,417,proA,b0243, JW0233
tatE,Sec-independent protein translocase protein TatE,TATE_ECOLI,P0A843,EG11305,67,tatE; ybeC,b0627, JW0622
matP,Macrodomain Ter protein,MATP_ECOLI,P0A8N0,EG12855,150,matP; ycbG,b0956, JW0939
grxC,Glutaredoxin 3,GLRX3_ECOLI,P0AC62,EG12294,83,grxC; yibM,b3610, JW3585
galS,HTH-type transcriptional regulator GalS,GALS_ECOLI,P25748,EG10365,346,galS,b2151, JW2138
dkgA,"2,5-diketo-D-gluconic acid reductase A",DKGA_ECOLI,Q46857,EG13015,275,dkgA; yqhE,b3012, JW5499
hybG,Hydrogenase maturation factor HybG,HYBG_ECOLI,P0AAM7,EG11805,82,hybG,b2990, JW2958
selD,"Selenide, water dikinase",SELD_ECOLI,P16456,EG10943,347,selD; fdhB,b1764, JW1753
ydiB,Quinate/shikimate dehydrogenase,YDIB_ECOLI,P0A6D5,EG11234,288,ydiB,-,
torC,Cytochrome c-type protein TorC,TORC_ECOLI,P33226,EG11815,390,torC,b0996, JW0981
nfo,Endonuclease 4,END4_ECOLI,P0A6C1,EG10651,285,nfo,b2159, JW2146
cvpA,Colicin V production protein,CVPA_ECOLI,P08550,EG10169,162,cvpA; dedE,b2313, JW2310
hxpA,Hexitol phosphatase A,HXPA_ECOLI,P77625,EG14104,216,hxpA; yfbT,b2293, JW5376
purU,Formyltetrahydrofolate deformylase,PURU_ECOLI,P37051,EG11819,280,purU; tgs; ychI,b1232, JW1220
recJ,Single-stranded-DNA-specific exonuclease RecJ,RECJ_ECOLI,P21893,EG10830,577,recJ,b2892, JW2860
iclR,Transcriptional repressor IclR,ICLR_ECOLI,P16528,EG10491,274,iclR,b4018, JW3978
ispA,Farnesyl diphosphate synthase,ISPA_ECOLI,P22939,EG10508,299,ispA,b0421, JW0411
amiA,N-acetylmuramoyl-L-alanine amidase AmiA,AMIA_ECOLI,P36548,EG11823,289,amiA; yfeE,b2435, JW2428
trmA,tRNA/tmRNA (uracil-C(5))-methyltransferase,TRMA_ECOLI,P23003,EG11022,366,trmA,b3965, JW3937
ycfS,"putative L,D-transpeptidase YcfS",YCFS_ECOLI,P75954,EG13437,320,ycfS,b1113, JW5820
rsxA,Electron transport complex subunit RsxA,RSXA_ECOLI,P0A766,EG13933,193,rsxA; rnfA; ydgL,b1627, JW1619
rsmC,Ribosomal RNA small subunit methyltransferase C,RSMC_ECOLI,P39406,EG12596,343,rsmC; yjjT,b4371, JW4333
guaA,GMP synthase [glutamine-hydrolyzing],GUAA_ECOLI,P04079,EG10420,525,guaA,b2507, JW2491
mukF,Chromosome partition protein MukF,MUKF_ECOLI,P60293,EG12165,440,mukF; kicB,b0922, JW0905
mntR,Transcriptional regulator MntR,MNTR_ECOLI,P0A9F1,EG13322,155,mntR; ybiQ,b0817, JW0801
fkpA,FKBP-type peptidyl-prolyl cis-trans isomerase FkpA,FKBA_ECOLI,P45523,EG12900,270,fkpA; yzzS,b3347, JW3309
chbC,"PTS system N,N'-diacetylchitobiose-specific EIIC component",PTQC_ECOLI,P17334,EG10141,452,chbC; celB,b1737, JW1726
melA,Alpha-galactosidase,AGAL_ECOLI,P06720,EG10577,451,melA; mel-7,b4119, JW4080
helD,DNA helicase IV,HELD_ECOLI,P15038,EG10426,684,helD,b0962, JW0945
treR,HTH-type transcriptional regulator TreR,TRER_ECOLI,P36673,EG12202,315,treR,b4241, JW4200
yeeZ,Protein YeeZ,YEEZ_ECOLI,P0AD12,EG13393,274,yeeZ,b2016, JW1998
lplT,Lysophospholipid transporter LplT,LPLT_ECOLI,P39196,EG12455,397,lplT; ygeD,b2835, JW2803
ymdB,O-acetyl-ADP-ribose deacetylase,YMDB_ECOLI,P0A8D6,EG13874,177,ymdB,b1045, JW1032
sodA,Superoxide dismutase [Mn],SODM_ECOLI,P00448,EG10953,206,sodA,b3908, JW3879
rsmI,Ribosomal RNA small subunit methyltransferase I,RSMI_ECOLI,P67087,EG12777,286,rsmI; yraL,b3146, JW3115
tesB,Acyl-CoA thioesterase 2,TESB_ECOLI,P0AGG2,EG10995,286,tesB,b0452, JW0442
zapD,Cell division protein ZapD,ZAPD_ECOLI,P36680,EG12313,247,zapD; yacF,b0102, JW0099
znuB,High-affinity zinc uptake system membrane protein ZnuB,ZNUB_ECOLI,P39832,EG12368,261,znuB; yebI,b1859, JW1848
hisP,Histidine transport ATP-binding protein HisP,HISP_ECOLI,P07109,EG10452,257,hisP,b2306, JW2303
fryC,Fructose-like permease IIC component 1,PTFC1_ECOLI,P77579,EG14154,415,fryC; ypdG,b2386, JW2383
hycD,Formate hydrogenlyase subunit 4,HYCD_ECOLI,P16430,EG10477,307,hycD; hevD,b2722, JW2692
allD,Ureidoglycolate dehydrogenase (NAD(+)),ALLD_ECOLI,P77555,EG13624,349,allD; glxB8; ylbC,b0517, JW0505
nudJ,Phosphatase NudJ,NUDJ_ECOLI,P0AEI6,EG13446,153,nudJ; ymfB,b1134, JW1120
mdoH,Glucans biosynthesis glucosyltransferase H,OPGH_ECOLI,P62517,EG11886,847,mdoH; opgH,b1049, JW1037
dapA,4-hydroxy-tetrahydrodipicolinate synthase,DAPA_ECOLI,P0A6L2,EG10205,292,dapA,b2478, JW2463
moaA,"GTP 3',8-cyclase",MOAA_ECOLI,P30745,EG11595,329,moaA; bisA; chlA; chlA1; narA,b0781, JW0764
oppD,Oligopeptide transport ATP-binding protein OppD,OPPD_ECOLI,P76027,EG10677,337,oppD,b1246, JW1238
nimT,2-nitroimidazole transporter,NIMT_ECOLI,P76242,EG13500,393,nimT; yeaN,b1791, JW1780
cysP,Thiosulfate-binding protein,CYSP_ECOLI,P16700,EG10195,338,cysP,b2425, JW2418
ycgL,Protein YcgL,YCGL_ECOLI,P0AB43,EG13893,108,ycgL,b1179, JW1168
cca,Multifunctional CCA protein,CCA_ECOLI,P06961,EG10136,412,cca,b3056, JW3028
phnK,Putative phosphonates utilization ATP-binding protein PhnK,PHNK_ECOLI,P16678,EG10720,252,phnK,b4097, JW5727
pspA,Phage shock protein A,PSPA_ECOLI,P0AFM6,EG10776,222,pspA,b1304, JW1297
yhhQ,Queuosine precursor transporter,QPTR_ECOLI,P37619,EG12217,221,yhhQ,b3471, JW3436
mdaB,Modulator of drug activity B,MDAB_ECOLI,P0AEY5,EG12656,193,mdaB; mda66,b3028, JW2996
umuD,Protein UmuD,UMUD_ECOLI,P0AG11,EG11057,139,umuD,b1183, JW1172
yibN,putative protein YibN,YIBN_ECOLI,P0AG27,EG12295,143,yibN,b3611, JW3586
phoU,Phosphate-specific transport system accessory protein PhoU,PHOU_ECOLI,P0A9K7,EG10735,241,phoU; nmpA,b3724, JW3702
mlaA,putative phospholipid-binding lipoprotein MlaA,MLAA_ECOLI,P76506,EG14276,251,mlaA; vacJ,b2346, JW2343
cvrA,K(+)/H(+) antiporter NhaP2,NHAP2_ECOLI,P76007,EG13896,578,cvrA; nhaP2; ycgO,b1191, JW5184
recG,ATP-dependent DNA helicase RecG,RECG_ECOLI,P24230,EG10829,693,recG; radC,b3652, JW3627
yggX,putative Fe(2+)-trafficking protein,FETP_ECOLI,P0A8P3,EG12984,91,yggX,b2962, JW2929
sufE,Cysteine desulfuration protein SufE,SUFE_ECOLI,P76194,EG13961,138,sufE; ynhA,b1679, JW1669
avtA,Valine--pyruvate aminotransferase,AVTA_ECOLI,P09053,EG10107,417,avtA,b3572, JW5652
hemE,Uroporphyrinogen decarboxylase,DCUP_ECOLI,P29680,EG11543,354,hemE,b3997, JW3961
yigZ,IMPACT family member YigZ,YIGZ_ECOLI,P27862,EG11484,204,yigZ,b3848, JW5577
cysI,Sulfite reductase [NADPH] hemoprotein beta-component,CYSI_ECOLI,P17846,EG10190,570,cysI,b2763, JW2733
clsC,Cardiolipin synthase C,CLSC_ECOLI,P75919,EG13875,473,clsC; ymdC,b1046, JW5150
sufS,Cysteine desulfurase,SUFS_ECOLI,P77444,EG13962,406,sufS; csdB; ynhB,b1680, JW1670
pdxY,Pyridoxal kinase PdxY,PDXY_ECOLI,P77150,EG13940,287,pdxY; ydgS,b1636, JW1628
yebS,Inner membrane protein YebS,YEBS_ECOLI,P0AD03,EG14021,427,yebS,b1833, JW1822
cnu,OriC-binding nucleoid-associated protein,CNU_ECOLI,P64467,EG14303,71,cnu; ydgT,b1625, JW1617
cysK,Cysteine synthase A,CYSK_ECOLI,P0ABK5,EG10192,323,cysK; cysZ,b2414, JW2407
metG,Methionine--tRNA ligase,SYM_ECOLI,P00959,EG10586,677,metG,b2114, JW2101
xseB,Exodeoxyribonuclease 7 small subunit,EX7S_ECOLI,P0A8G9,EG11098,80,xseB; yajE,b0422, JW0412
sfsA,Sugar fermentation stimulation protein A,SFSA_ECOLI,P0A823,EG10949,234,sfsA; sfs1,b0146, JW0142
prs,Ribose-phosphate pyrophosphokinase,KPRS_ECOLI,P0A717,EG10774,315,prs; prsA,b1207, JW1198
hisG,ATP phosphoribosyltransferase,HIS1_ECOLI,P60757,EG10449,299,hisG,b2019, JW2001
hupA,DNA-binding protein HU-alpha,DBHA_ECOLI,P0ACF0,EG10466,90,hupA,b4000, JW3964
nrdH,Glutaredoxin-like protein NrdH,NRDH_ECOLI,P0AC65,EG13286,81,nrdH; ygaN,b2673, JW2648
amtB,Ammonia channel,AMTB_ECOLI,P69681,EG11821,428,amtB; ybaG,b0451, JW0441
usg,USG-1 protein,USG_ECOLI,P08390,EG11059,337,usg,b2319, JW2316
hycA,Formate hydrogenlyase regulatory protein HycA,HYCA_ECOLI,P0AEV4,EG10474,153,hycA; hevA,b2725, JW2695
aspC,Aspartate aminotransferase,AAT_ECOLI,P00509,EG10096,396,aspC,b0928, JW0911
pldA,Phospholipase A1,PA1_ECOLI,P0A921,EG10738,289,pldA,b3821, JW3794
fucO,Lactaldehyde reductase,FUCO_ECOLI,P0A9S1,EG10351,382,fucO,b2799, JW2770
hxpB,Hexitol phosphatase B,HXPB_ECOLI,P77247,EG13988,222,hxpB; yniC,b1727, JW1716
panF,Sodium/pantothenate symporter,PANF_ECOLI,P16256,EG10685,483,panF,b3258, JW3226
mdtC,Multidrug resistance protein MdtC,MDTC_ECOLI,P76399,EG14058,1025,mdtC; yegO,b2076, JW2061
entE,Enterobactin synthase component E,ENTE_ECOLI,P10378,EG10263,536,entE,b0594, JW0586
tsgA,Protein TsgA,TSGA_ECOLI,P60778,EG11262,393,tsgA; gutS; yhfC; yhfH,b3364, JW3327
queC,7-cyano-7-deazaguanine synthase,QUEC_ECOLI,P77756,EG13252,231,queC; ybaX,b0444, JW0434
citD,Citrate lyase acyl carrier protein,CITD_ECOLI,P69330,EG13543,98,citD; ybdX,b0617, JW0609
recX,Regulatory protein RecX,RECX_ECOLI,P33596,EG12080,166,recX; oraA,b2698, JW2668
ybcJ,putative protein YbcJ,YBCJ_ECOLI,P0AAS7,EG12879,70,ybcJ,b0528, JW5070
glpG,Rhomboid protease GlpG,GLPG_ECOLI,P09391,EG10397,276,glpG,b3424, JW5687
nhaB,Na(+)/H(+) antiporter NhaB,NHAB_ECOLI,P0AFA7,EG11392,513,nhaB,b1186, JW1175
dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,DUT_ECOLI,P06968,EG10251,151,dut; dnaS; sof,b3640, JW3615
blc,Outer membrane lipoprotein Blc,BLC_ECOLI,P0A901,EG12474,177,blc; yjeL,b4149, JW4110
yhhA,putative protein YhhA,YHHA_ECOLI,P0ADX7,EG11184,146,yhhA,b3448, JW3413
ligA,DNA ligase,DNLJ_ECOLI,P15042,EG10534,671,ligA; dnaL; lig; lop; pdeC,b2411, JW2403
fldB,Flavodoxin 2,FLAW_ECOLI,P0ABY4,EG12697,173,fldB,b2895, JW2863
hha,Hemolysin expression-modulating protein Hha,HHA_ECOLI,P0ACE3,EG10439,72,hha,b0460, JW0449
recD,RecBCD enzyme subunit RecD,RECD_ECOLI,P04993,EG10826,608,recD; hopE,b2819, JW2787
gltS,Sodium/glutamate symporter,GLTS_ECOLI,P0AER8,EG10406,401,gltS; gltC,b3653, JW3628
ilvD,Dihydroxy-acid dehydratase,ILVD_ECOLI,P05791,EG10496,616,ilvD,b3771, JW5605
gabP,GABA permease,GABP_ECOLI,P25527,EG11330,466,gabP,b2663, JW2638
aat,Leucyl/phenylalanyl-tRNA--protein transferase,LFTR_ECOLI,P0A8P1,EG11112,234,aat; ycaA,b0885, JW0868
yihD,Protein YihD,YIHD_ECOLI,P0ADP9,EG11830,89,yihD,b3858, JW3830
kduI,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase,KDUI_ECOLI,Q46938,EG13096,278,kduI; yqeE,b2843, JW2811
dcd,dCTP deaminase,DCD_ECOLI,P28248,EG11418,193,dcd; dus; paxA,b2065, JW2050
rsmH,Ribosomal RNA small subunit methyltransferase H,RSMH_ECOLI,P60390,EG11085,313,rsmH; mraW; yabC,b0082, JW0080
garL,5-keto-4-deoxy-D-glucarate aldolase,GARL_ECOLI,P23522,EG10016,256,garL; yhaF,b3126, JW3095
ygjV,Inner membrane protein YgjV,YGJV_ECOLI,P42603,EG12733,183,ygjV,b3090, JW3061
yhjD,Inner membrane protein YhjD,YHJD_ECOLI,P37642,EG12248,337,yhjD,b3522, JW3490
cspC,Cold shock-like protein CspC,CSPC_ECOLI,P0A9Y6,EG12204,69,cspC; msmB,b1823, JW1812
psiE,Protein PsiE,PSIE_ECOLI,P0A7C8,EG11209,136,psiE; yjbA,b4030, JW3990
frmA,S-(hydroxymethyl)glutathione dehydrogenase,FRMA_ECOLI,P25437,EG50010,369,frmA; adhC,b0356, JW0347
ydgJ,putative oxidoreductase YdgJ,YDGJ_ECOLI,P77376,EG13931,346,ydgJ,b1624, JW5265
emrD,Multidrug resistance protein D,EMRD_ECOLI,P31442,EG11693,394,emrD; yicQ,b3673, JW5634
rnd,Ribonuclease D,RND_ECOLI,P09155,EG10858,375,rnd,b1804, JW1793
eutN,Ethanolamine utilization protein EutN,EUTN_ECOLI,P0AEJ8,EG14186,95,eutN; cchB; yffY,b2456, JW2440
metE,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,METE_ECOLI,P25665,EG10584,753,metE,b3829, JW3805
aroH,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive",AROH_ECOLI,P00887,EG10080,348,aroH,b1704, JW1694
fumB,"Fumarate hydratase class I, anaerobic",FUMB_ECOLI,P14407,EG10357,548,fumB,b4122, JW4083
